node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CD1D,5852162.0,0.76906,17.0,17.0,19.696,1.0,0.25,39.41667,4.2,38.0239,254.0,0.69853,
ALOX5,3695286.0,0.53697,21.0,21.0,20.386,1.0,0.33333,42.5,4.36923,129.28223,844.0,0.45238,
XAF1,5.318478164882E12,0.90089,24.0,24.0,23.472,2.0,0.33333,43.83333,4.4,64.0591,578.0,0.72464,
STAT1,5.325250169768E12,0.62012,43.0,43.0,27.563,7.0,0.33333,53.66667,4.72308,399.63583,2420.0,0.41085,
C5AR1,1.7505554E7,0.73116,22.0,22.0,22.136,1.0,0.25,42.08333,4.29231,68.29608,592.0,0.60606,
IFI6,5.325224093304E12,0.91613,25.0,25.0,24.28,1.0,0.33333,44.5,4.43077,46.62621,534.0,0.72667,
ARL4D,5.0,0.30779,2.0,5.0,6.666,1.0,0.25,30.75,3.75385,25.3938,150.0,0.2,
APOL1,1.307714284955E12,0.77378,20.0,21.0,22.593,1.0,0.33333,42.0,4.32308,58.05975,466.0,0.6,
FCGR2A,5.440998E8,0.80179,24.0,24.0,23.469,1.0,0.25,43.41667,4.35385,32.09972,362.0,0.64493,
KYNU,37.0,0.40246,7.0,8.0,10.512,1.0,0.25,34.41667,4.01538,14.74809,130.0,0.39286,
TNFSF10,5.319021901108E12,0.75757,33.0,33.0,26.133,2.0,0.33333,48.33333,4.53846,149.66027,1166.0,0.54735,
OAS3,5.32507204224E12,0.92874,25.0,25.0,23.788,1.0,0.33333,44.16667,4.4,29.00882,418.0,0.73667,
CD38,1.308778068988E12,0.73978,30.0,30.0,25.22,1.0,0.33333,46.5,4.46154,102.97961,868.0,0.55172,
USP18,5.324581785606E12,0.96617,22.0,22.0,22.552,2.0,0.33333,42.33333,4.32308,32.52758,312.0,0.80087,
AIM2,3.929870654666E12,0.82952,26.0,26.0,24.465,1.0,0.25,44.41667,4.38462,78.61258,610.0,0.64923,
