Top 10 in network cyto.tsv ranked by Betweenness method
Rank,Name,Score
1,CDKN1A,439.7248819268168
2,BCL2,431.8453981783817
3,STAT1,399.6358320711718
4,ISG15,299.0143268499368
5,TGFBI,250.64230710928024
6,SQLE,156.30749066823722
7,TNFSF10,149.66026542375846
8,GAS7,148.60517072760948
9,ALOX5,129.28223252902177
10,MX1,127.3365766062637
