Top 10 in network cyto.tsv ranked by EPC method
Rank,Name,Score
1,STAT1,27.563000000000045
2,MX1,26.782000000000036
3,TNFSF10,26.133000000000063
4,BCL2,26.049000000000063
5,ISG15,25.78200000000005
6,CD38,25.22000000000007
7,IFI44,25.214000000000087
8,OAS1,24.851000000000045
9,IFIT1,24.5740000000001
10,AIM2,24.465000000000064
