Top 10 in network cyto.tsv ranked by Closeness method
Rank,Name,Score
1,STAT1,53.66666666666667
2,BCL2,51.00000000000001
3,ISG15,49.333333333333336
4,MX1,49.16666666666667
5,TNFSF10,48.33333333333334
6,CDKN1A,47.66666666666667
7,CD38,46.500000000000014
8,IFI44,45.66666666666668
9,BTK,45.66666666666667
10,IFIT1,45.00000000000001
